x/c,y/c
1,0
0.99568,0.00076
0.98816,0.00211
0.97952,0.00372
0.97043,0.00546
0.96127,0.00722
0.95209,0.00904
0.94288,0.01088
0.93364,0.01269
0.92436,0.01454
0.91508,0.0164
0.90581,0.01823
0.89657,0.02003
0.88733,0.02182
0.8781,0.02364
0.86887,0.02543
0.85966,0.02721
0.85049,0.02901
0.84137,0.03077
0.83231,0.03249
0.8233,0.03429
0.81429,0.03608
0.80527,0.03782
0.79628,0.03959
0.78733,0.04139
0.77836,0.0431
0.76933,0.04473
0.76022,0.04636
0.7511,0.04804
0.74201,0.04976
0.73296,0.05145
0.72393,0.05305
0.71486,0.05455
0.70572,0.05601
0.69653,0.0575
0.68735,0.05902
0.67823,0.06054
0.66917,0.06199
0.66011,0.06333
0.65101,0.06458
0.64185,0.06583
0.63268,0.06712
0.62354,0.06845
0.61446,0.06976
0.60543,0.07098
0.59639,0.07208
0.58729,0.07311
0.57815,0.07414
0.56902,0.07524
0.55995,0.07638
0.55096,0.07748
0.542,0.07847
0.53298,0.07932
0.52388,0.08012
0.51475,0.08096
0.50569,0.08185
0.49672,0.08267
0.48778,0.08335
0.47876,0.08389
0.46962,0.08442
0.46048,0.08502
0.45145,0.0856
0.44252,0.08606
0.4336,0.08636
0.42458,0.08656
0.41551,0.08682
0.40649,0.08714
0.3976,0.08741
0.38878,0.08752
0.3799,0.08746
0.37092,0.08737
0.36194,0.08738
0.35308,0.08742
0.34433,0.08735
0.33554,0.08708
0.32662,0.08671
0.3177,0.08642
0.30893,0.08608
0.30017,0.08553
0.29124,0.08487
0.28229,0.08427
0.27352,0.08361
0.26481,0.08274
0.25596,0.08176
0.24711,0.08086
0.23845,0.0799
0.22985,0.07872
0.22115,0.07746
0.21249,0.07629
0.20403,0.07506
0.19559,0.07358
0.18701,0.07203
0.17857,0.07053
0.1703,0.06883
0.16188,0.0669
0.15345,0.06502
0.14528,0.06305
0.13712,0.06079
0.12886,0.05851
0.12086,0.05625
0.11302,0.0537
0.10506,0.05107
0.09727,0.04852
0.08968,0.04571
0.08203,0.04278
0.07469,0.03987
0.06748,0.03662
0.06031,0.03337
0.05367,0.03006
0.04722,0.0265
0.04102,0.02317
0.03536,0.01963
0.02981,0.01605
0.02469,0.01267
0.02014,0.00927
0.01622,0.00598
0.01294,0.00293
0.0102,0.00018
0.00802,-0.00232
0.00616,-0.00448
0.00472,-0.0065
0.00347,-0.00827
0.00254,-0.00994
0.00171,-0.01142
0.00114,-0.01284
0.00064,-0.01415
0.00031,-0.01537
0.0002,-0.01654
0.00006,-0.01762
0.00001,-0.01863
0.00008,-0.01968
0.00026,-0.02076
0.00061,-0.02187
0.00113,-0.023
0.0018,-0.02413
0.00265,-0.02527
0.00372,-0.02637
0.00491,-0.02751
0.00637,-0.02862
0.0081,-0.0297
0.01013,-0.03082
0.01256,-0.03192
0.01547,-0.03302
0.01895,-0.03418
0.02316,-0.03534
0.02822,-0.03646
0.03417,-0.03752
0.04092,-0.03847
0.04817,-0.03945
0.05595,-0.04024
0.06402,-0.041
0.07247,-0.04156
0.08104,-0.04206
0.08982,-0.04238
0.09879,-0.04268
0.10789,-0.04289
0.11707,-0.04312
0.12629,-0.04327
0.13558,-0.04341
0.14484,-0.04352
0.15416,-0.04356
0.1635,-0.0436
0.1728,-0.04358
0.18218,-0.04352
0.19164,-0.04345
0.20112,-0.04337
0.21063,-0.04328
0.22017,-0.0432
0.22971,-0.04311
0.23921,-0.04301
0.2487,-0.04289
0.25819,-0.04274
0.26772,-0.04257
0.27723,-0.0424
0.28667,-0.0422
0.29608,-0.04195
0.30553,-0.04169
0.315,-0.04145
0.32447,-0.04118
0.33393,-0.04091
0.34341,-0.04064
0.35293,-0.0404
0.36248,-0.04016
0.37203,-0.03992
0.38158,-0.03969
0.39112,-0.03946
0.40066,-0.03922
0.4102,-0.03898
0.41974,-0.03873
0.42925,-0.03847
0.43875,-0.03819
0.44827,-0.0379
0.4578,-0.0376
0.46733,-0.03731
0.47686,-0.03703
0.48639,-0.03676
0.49593,-0.0365
0.50548,-0.03623
0.51503,-0.03596
0.52456,-0.03569
0.53408,-0.03542
0.5436,-0.03517
0.55313,-0.03492
0.56268,-0.03468
0.57222,-0.03442
0.58176,-0.03416
0.59128,-0.03389
0.60079,-0.03361
0.61032,-0.03331
0.61986,-0.03301
0.6294,-0.03271
0.63894,-0.03241
0.64849,-0.03211
0.65803,-0.0318
0.66757,-0.0315
0.67711,-0.0312
0.68664,-0.03092
0.69617,-0.03064
0.7057,-0.03036
0.71523,-0.03008
0.72476,-0.0298
0.73429,-0.0295
0.74382,-0.0292
0.75335,-0.02889
0.76288,-0.02858
0.77242,-0.02827
0.78196,-0.02797
0.79151,-0.02767
0.80106,-0.02738
0.81062,-0.02708
0.82017,-0.02679
0.82973,-0.02649
0.83927,-0.0262
0.84881,-0.0259
0.85833,-0.0256
0.86785,-0.02531
0.87738,-0.02502
0.88692,-0.02474
0.89646,-0.02447
0.90602,-0.02419
0.91558,-0.02392
0.92513,-0.02363
0.93464,-0.02335
0.94412,-0.02305
0.95364,-0.02275
0.96317,-0.02245
0.97239,-0.02214
0.98076,-0.02183
0.98807,-0.02155
0.99239,-0.02137
1,-0.02023668
