Alpha,Cl,Cd,Cm
-19.0,-0.4366445929535966,0.09590062098283768,-0.1406047048242388
-18.0,-0.46591560976582713,0.08291711140332565,-0.14592747321305055
-17.0,-0.45123790879683984,0.0748558615193991,-0.1487340817229875
-16.0,-0.4150629269538513,0.06553406303260137,-0.15604312641646184
-15.0,-0.405684832249613,0.058892907193941434,-0.15517631503882798
-14.0,-0.3988033296050806,0.05308222420990275,-0.15252181260786457
-13.0,-0.3947061874562174,0.04797450842871031,-0.14806542437609288
-12.0,-0.33117253658448625,0.04243603915307389,-0.1500839489533212
-11.0,-0.32493079428123367,0.03920961731616666,-0.14184716792085197
-10.0,-0.31348819287279306,0.036388106984757244,-0.13276656516386845
-9.0,-0.28285704532853195,0.03361749717868654,-0.12506675095224373
-8.0,-0.2024533994042981,0.029176655351846423,-0.12530284537079764
-7.0,-0.17389860086898126,0.027033363161308624,-0.11535187455538003
-6.0,-0.1447109831033853,0.02542075796225337,-0.10446194695816444
-5.0,-0.1218664932453427,0.024413995992751614,-0.09167174590573823
-4.0,-0.10715848259178298,0.023889163653231054,-0.07710204584716582
-3.0,-0.07632971247279731,0.023280538486821177,-0.06480294019289014
-2.0,-0.08186079185187603,0.02373002469705728,-0.04674576362634748
-1.0,-0.22676890489568843,0.028854401837059937,-0.011004420542640852
0.0,-0.11654117359663121,0.02572042284479348,-0.008294554604577285
1.0,-0.16442117987460353,0.02840302779061295,0.013248997357558913
2.0,-0.16973130359415198,0.030007369393870168,0.029055197458690448
4.0,-0.04383494696739975,0.03378979500208109,0.03783039559820502
6.0,0.25625376565377256,0.03572291082647062,0.02483982227726418
7.0,0.3342974647410217,0.04098090539659079,0.024439176333740927
8.0,0.3160186421582466,0.04871054378240633,0.03380884385190066
9.0,0.32914882020745306,0.055005266108605205,0.03965186792956045
10.0,0.37701410843787325,0.06203968688161966,0.03821211038161415
18.0,0.4051582853041975,0.13740028817795213,0.0299145235355478
19.0,0.41712379182742804,0.14458683127832755,0.025960021531924334
20.0,0.420679892926836,0.1511214473192502,0.024947230763645765
