r/R,Contour file,Aero file
0,Section1.csv,Section1.csv
0.1342,Section1.csv,Section1.csv
0.1956,Section2.csv,Section2.csv
0.2568,Section3.csv,Section3.csv
0.3191,Section4.csv,Section4.csv
0.3804,Section5.csv,Section5.csv
0.4418,Section6.csv,Section6.csv
0.5031,Section7.csv,Section7.csv
0.5804,Section8.csv,Section8.csv
0.6267,Section9.csv,Section9.csv
0.688,Section10.csv,Section10.csv
0.7493,Section11.csv,Section11.csv
0.8107,Section12.csv,Section12.csv
0.872,Section13.csv,Section13.csv
0.9404,Section14.csv,Section14.csv
1,Section14.csv,Section14.csv
