r/R,z/R  (height of leading edge from top face of hub)
0.133333333,0.006773333
0.244213333,0.006773333
0.288942222,0.007582222
0.320426667,0.008168889
0.368346667,0.00912
0.416008889,0.010115556
0.476364444,0.011466667
0.535253333,0.01288
0.580791111,0.014035556
0.629982222,0.015351111
0.677173333,0.016675556
0.726542222,0.018124444
0.766746667,0.019342222
0.819048889,0.020951111
0.861617778,0.022266667
0.900391111,0.023466667
0.955768889,0.025155556
0.986746667,0.026062222
0.999324444,0.026364444
0.99952,0.026355556
1,0.026346667
