# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
1

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,WXTUCPDOAP,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,129,17
# x,y,z,u,w
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
0.000000000000000000e+00, -1.850371707708594131e-17, 7.401486830834376525e-17, 0.000000000000000000e+00, 2.500000000000000000e-01
0.000000000000000000e+00, -1.480297366166875305e-16, 1.480297366166875305e-16, 0.000000000000000000e+00, 5.000000000000000000e-01
0.000000000000000000e+00, -1.850371707708594131e-17, 1.850371707708594131e-17, 0.000000000000000000e+00, 7.500000000000000000e-01
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
0.000000000000000000e+00, 1.850371707708594131e-17, 1.850371707708594131e-17, 0.000000000000000000e+00, 1.250000000000000000e+00
0.000000000000000000e+00, 1.480297366166875305e-16, 1.480297366166875305e-16, 0.000000000000000000e+00, 1.500000000000000000e+00
0.000000000000000000e+00, 1.850371707708594131e-17, 1.850371707708594131e-17, 0.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.000000000000000000e+00
0.000000000000000000e+00, 1.850371707708594131e-17, -5.551115123125782702e-17, 0.000000000000000000e+00, 2.250000000000000000e+00
0.000000000000000000e+00, 1.480297366166875305e-16, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.500000000000000000e+00
0.000000000000000000e+00, 1.850371707708594131e-17, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.000000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -1.110223024625156540e-16, 0.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.500000000000000000e+00
0.000000000000000000e+00, -1.110223024625156540e-16, 0.000000000000000000e+00, 0.000000000000000000e+00, 3.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 4.000000000000000000e+00
1.693426116007185067e-01, 1.478136778003541207e-01, -9.253382135076218973e-04, 3.333333333333333287e-02, 0.000000000000000000e+00
1.693425117044415340e-01, 1.351455570636479475e-01, -5.554564830672531484e-02, 3.333333333333333287e-02, 2.500000000000000000e-01
1.693423452101614490e-01, 1.017114258215151557e-01, -1.031029003877332595e-01, 3.333333333333333287e-02, 5.000000000000000000e-01
1.693422675117634557e-01, 5.437081582232397570e-02, -1.367050251717912002e-01, 3.333333333333333287e-02, 7.500000000000000000e-01
1.693422564113685469e-01, -2.074930055448351193e-17, -1.494422280785366319e-01, 3.333333333333333287e-02, 1.000000000000000000e+00
1.693422675117634557e-01, -5.437081582232401733e-02, -1.367050251717912002e-01, 3.333333333333333287e-02, 1.250000000000000000e+00
1.693423452101614490e-01, -1.017114258215151695e-01, -1.031029003877332872e-01, 3.333333333333333287e-02, 1.500000000000000000e+00
1.693425117044415340e-01, -1.351455570636480030e-01, -5.554564830672538422e-02, 3.333333333333333287e-02, 1.750000000000000000e+00
1.693426116007185067e-01, -1.478136778003541485e-01, -9.253382135076497613e-04, 3.333333333333333287e-02, 2.000000000000000000e+00
1.693425117044415340e-01, -1.351455570636480030e-01, 5.369497187971009750e-02, 3.333333333333333287e-02, 2.250000000000000000e+00
1.693423452101614490e-01, -1.017114258215151695e-01, 1.012522239607181740e-01, 3.333333333333333287e-02, 2.500000000000000000e+00
1.693422675117635112e-01, -5.437081582232401733e-02, 1.348543487447760314e-01, 3.333333333333333287e-02, 2.750000000000000000e+00
1.693422564113686024e-01, -2.074034773054735250e-17, 1.475915516515214909e-01, 3.333333333333333287e-02, 3.000000000000000000e+00
1.693422675117635112e-01, 5.437081582232398264e-02, 1.348543487447759759e-01, 3.333333333333333287e-02, 3.250000000000000000e+00
1.693423452101614490e-01, 1.017114258215152667e-01, 1.012522239607182017e-01, 3.333333333333333287e-02, 3.500000000000000000e+00
1.693425117044415340e-01, 1.351455570636478920e-01, 5.369497187971015995e-02, 3.333333333333333287e-02, 3.750000000000000000e+00
1.693426116007185067e-01, 1.478136778003541207e-01, -9.253382135076218973e-04, 3.333333333333333287e-02, 4.000000000000000000e+00
3.676506452806475034e-01, 2.833667845419726161e-01, -3.617231198257067713e-03, 6.666666666666666574e-02, 0.000000000000000000e+00
3.676502594743364383e-01, 2.591499657731252126e-01, -1.090143147129923745e-01, 6.666666666666666574e-02, 2.500000000000000000e-01
3.676496164619443840e-01, 1.951639265110168553e-01, -2.006033270880514252e-01, 6.666666666666666574e-02, 5.000000000000000000e-01
3.676493163853727930e-01, 1.044214562255960793e-01, -2.652448160333278904e-01, 6.666666666666666574e-02, 7.500000000000000000e-01
3.676492735148821911e-01, -3.868690347498794861e-17, -2.897308729445896014e-01, 6.666666666666666574e-02, 1.000000000000000000e+00
3.676493163853727930e-01, -1.044214562255961487e-01, -2.652448160333278904e-01, 6.666666666666666574e-02, 1.250000000000000000e+00
3.676496164619443840e-01, -1.951639265110168830e-01, -2.006033270880514530e-01, 6.666666666666666574e-02, 1.500000000000000000e+00
3.676502594743364383e-01, -2.591499657731253237e-01, -1.090143147129924717e-01, 6.666666666666666574e-02, 1.750000000000000000e+00
3.676506452806475034e-01, -2.833667845419727271e-01, -3.617231198257119321e-03, 6.666666666666666574e-02, 2.000000000000000000e+00
3.676502594743364383e-01, -2.591499657731253237e-01, 1.017798523164782920e-01, 6.666666666666666574e-02, 2.250000000000000000e+00
3.676496164619443840e-01, -1.951639265110168830e-01, 1.933688646915375231e-01, 6.666666666666666574e-02, 2.500000000000000000e+00
